TIME,GEO,AIRPOL,AIRSECT,Tonnes
1990,Belgium,Particulates_lt_10mcg,Non-road_transport,
1990,Belgium,Particulates_lt_10mcg,Commercial_institutes_houses,
1990,Belgium,Particulates_lt_10mcg,Industrial_processes,
1990,Belgium,Particulates_lt_10mcg,Agriculture,
1990,Belgium,Particulates_lt_10mcg,Waste,
1990,Belgium,Particulates_lt_10mcg,Other,
1990,Belgium,Sulphur_oxides,Total_all_sectors,365106.0
1990,Belgium,Sulphur_oxides,Energy_prod_distrib,148121.0
1990,Belgium,Sulphur_oxides,Energy_use_industry,67126.0
1990,Belgium,Sulphur_oxides,Road_transport,13444.0
1990,Belgium,Sulphur_oxides,Non-road_transport,1933.0
1990,Belgium,Sulphur_oxides,Commercial_institutes_houses,63866.0
1990,Belgium,Sulphur_oxides,Industrial_processes,67363.0
1990,Belgium,Sulphur_oxides,Agriculture,0.0
1990,Belgium,Sulphur_oxides,Waste,3252.0
1990,Belgium,Sulphur_oxides,Other,0.0
1990,Belgium,Nitrogen_oxides,Total_all_sectors,410652.0
1990,Belgium,Nitrogen_oxides,Energy_prod_distrib,74877.0
1990,Belgium,Nitrogen_oxides,Energy_use_industry,36433.0
1990,Belgium,Nitrogen_oxides,Road_transport,193666.0
1990,Belgium,Nitrogen_oxides,Non-road_transport,13459.0
1990,Belgium,Nitrogen_oxides,Commercial_institutes_houses,29028.0
1990,Belgium,Nitrogen_oxides,Industrial_processes,42591.0
1990,Belgium,Nitrogen_oxides,Agriculture,19510.0
1990,Belgium,Nitrogen_oxides,Waste,1088.0
1990,Belgium,Nitrogen_oxides,Other,0.0
1990,Bulgaria,Ammonia,Total_all_sectors,121123.0
1990,Bulgaria,Ammonia,Energy_prod_distrib,6.0
1990,Bulgaria,Ammonia,Energy_use_industry,4.0
1990,Bulgaria,Ammonia,Road_transport,46.0
1990,Bulgaria,Ammonia,Non-road_transport,1.0
1990,Bulgaria,Ammonia,Commercial_institutes_houses,521.0
1990,Bulgaria,Ammonia,Industrial_processes,1922.0
1990,Bulgaria,Ammonia,Agriculture,114044.0
1990,Bulgaria,Ammonia,Waste,4580.0
1990,Bulgaria,Ammonia,Other,0.0
1990,Bulgaria,Non-methane_VOCs,Total_all_sectors,560950.0
1990,Bulgaria,Non-methane_VOCs,Energy_prod_distrib,21915.0
1990,Bulgaria,Non-methane_VOCs,Energy_use_industry,835.0
1990,Bulgaria,Non-methane_VOCs,Road_transport,63947.0
1990,Bulgaria,Non-methane_VOCs,Non-road_transport,699.0
1990,Bulgaria,Non-methane_VOCs,Commercial_institutes_houses,20869.0
1990,Bulgaria,Non-methane_VOCs,Industrial_processes,410616.0
1990,Bulgaria,Non-methane_VOCs,Agriculture,29902.0
1990,Bulgaria,Non-methane_VOCs,Waste,12167.0
1990,Bulgaria,Non-methane_VOCs,Other,0.0
1990,Bulgaria,Particulates_lt_2.5mcg,Total_all_sectors,
1990,Bulgaria,Particulates_lt_2.5mcg,Energy_prod_distrib,
1990,Bulgaria,Particulates_lt_2.5mcg,Energy_use_industry,
1990,Bulgaria,Particulates_lt_2.5mcg,Road_transport,
1990,Bulgaria,Particulates_lt_2.5mcg,Non-road_transport,
1990,Bulgaria,Particulates_lt_2.5mcg,Commercial_institutes_houses,
1990,Bulgaria,Particulates_lt_2.5mcg,Industrial_processes,
1990,Bulgaria,Particulates_lt_2.5mcg,Agriculture,
1990,Bulgaria,Particulates_lt_2.5mcg,Waste,
1990,Bulgaria,Particulates_lt_2.5mcg,Other,
1990,Bulgaria,Particulates_lt_10mcg,Total_all_sectors,
1990,Bulgaria,Particulates_lt_10mcg,Energy_prod_distrib,
1990,Bulgaria,Particulates_lt_10mcg,Energy_use_industry,
1990,Bulgaria,Particulates_lt_10mcg,Road_transport,
1990,Bulgaria,Particulates_lt_10mcg,Non-road_transport,
1990,Bulgaria,Particulates_lt_10mcg,Commercial_institutes_houses,
1990,Bulgaria,Particulates_lt_10mcg,Industrial_processes,
1990,Bulgaria,Particulates_lt_10mcg,Agriculture,
1990,Bulgaria,Particulates_lt_10mcg,Waste,
1990,Bulgaria,Particulates_lt_10mcg,Other,
1990,Bulgaria,Sulphur_oxides,Total_all_sectors,1100787.0
1990,Bulgaria,Sulphur_oxides,Energy_prod_distrib,837752.0
1990,Bulgaria,Sulphur_oxides,Energy_use_industry,205866.0
1990,Bulgaria,Sulphur_oxides,Road_transport,1874.0
1990,Bulgaria,Sulphur_oxides,Non-road_transport,1747.0
1990,Bulgaria,Sulphur_oxides,Commercial_institutes_houses,38487.0
1990,Bulgaria,Sulphur_oxides,Industrial_processes,15059.0
1990,Bulgaria,Sulphur_oxides,Agriculture,0.0
1990,Bulgaria,Sulphur_oxides,Waste,3.0
1990,Bulgaria,Sulphur_oxides,Other,0.0
1990,Bulgaria,Nitrogen_oxides,Total_all_sectors,284088.0
1990,Bulgaria,Nitrogen_oxides,Energy_prod_distrib,57853.0
1990,Bulgaria,Nitrogen_oxides,Energy_use_industry,53182.0
1990,Bulgaria,Nitrogen_oxides,Road_transport,60369.0
1990,Bulgaria,Nitrogen_oxides,Non-road_transport,13102.0
1990,Bulgaria,Nitrogen_oxides,Commercial_institutes_houses,35987.0
1990,Bulgaria,Nitrogen_oxides,Industrial_processes,62926.0
1990,Bulgaria,Nitrogen_oxides,Agriculture,633.0
1990,Bulgaria,Nitrogen_oxides,Waste,37.0
1990,Bulgaria,Nitrogen_oxides,Other,0.0
1990,Cyprus,Ammonia,Total_all_sectors,5267.0
1990,Cyprus,Ammonia,Energy_prod_distrib,0.0
1990,Cyprus,Ammonia,Energy_use_industry,0.0
1990,Cyprus,Ammonia,Road_transport,61.0
1990,Cyprus,Ammonia,Non-road_transport,0.0
1990,Cyprus,Ammonia,Commercial_institutes_houses,7.0
1990,Cyprus,Ammonia,Industrial_processes,16.0
1990,Cyprus,Ammonia,Agriculture,5184.0
1990,Cyprus,Ammonia,Waste,0.0
1990,Cyprus,Ammonia,Other,0.0
1990,Cyprus,Non-methane_VOCs,Total_all_sectors,15224.0
1990,Cyprus,Non-methane_VOCs,Energy_prod_distrib,1307.0
1990,Cyprus,Non-methane_VOCs,Energy_use_industry,123.0
1990,Cyprus,Non-methane_VOCs,Road_transport,6852.0
1990,Cyprus,Non-methane_VOCs,Non-road_transport,23.0
1990,Cyprus,Non-methane_VOCs,Commercial_institutes_houses,90.0
1990,Cyprus,Non-methane_VOCs,Industrial_processes,5343.0
1990,Cyprus,Non-methane_VOCs,Agriculture,957.0
1990,Cyprus,Non-methane_VOCs,Waste,528.0
1990,Cyprus,Non-methane_VOCs,Other,0.0
1990,Cyprus,Particulates_lt_2.5mcg,Total_all_sectors,
1990,Cyprus,Particulates_lt_2.5mcg,Energy_prod_distrib,
1990,Cyprus,Particulates_lt_2.5mcg,Energy_use_industry,
1990,Cyprus,Particulates_lt_2.5mcg,Road_transport,
1990,Cyprus,Particulates_lt_2.5mcg,Non-road_transport,
1990,Cyprus,Particulates_lt_2.5mcg,Commercial_institutes_houses,
1990,Cyprus,Particulates_lt_2.5mcg,Industrial_processes,
1990,Cyprus,Particulates_lt_2.5mcg,Agriculture,
1990,Cyprus,Particulates_lt_2.5mcg,Waste,
1990,Cyprus,Particulates_lt_2.5mcg,Other,
1990,Cyprus,Particulates_lt_10mcg,Total_all_sectors,
1990,Cyprus,Particulates_lt_10mcg,Energy_prod_distrib,
1990,Cyprus,Particulates_lt_10mcg,Energy_use_industry,
1990,Cyprus,Particulates_lt_10mcg,Road_transport,
1990,Cyprus,Particulates_lt_10mcg,Non-road_transport,
1990,Cyprus,Particulates_lt_10mcg,Commercial_institutes_houses,
1990,Cyprus,Particulates_lt_10mcg,Industrial_processes,
1990,Cyprus,Particulates_lt_10mcg,Agriculture,
1990,Cyprus,Particulates_lt_10mcg,Waste,
1990,Cyprus,Particulates_lt_10mcg,Other,
1990,Cyprus,Sulphur_oxides,Total_all_sectors,31386.0
1990,Cyprus,Sulphur_oxides,Energy_prod_distrib,22263.0
1990,Cyprus,Sulphur_oxides,Energy_use_industry,2713.0
1990,Cyprus,Sulphur_oxides,Road_transport,4484.0
1990,Cyprus,Sulphur_oxides,Non-road_transport,112.0
1990,Cyprus,Sulphur_oxides,Commercial_institutes_houses,1796.0
1990,Cyprus,Sulphur_oxides,Industrial_processes,0.0
1990,Cyprus,Sulphur_oxides,Agriculture,17.0
1990,Cyprus,Sulphur_oxides,Waste,0.0
1990,Cyprus,Sulphur_oxides,Other,0.0
1990,Cyprus,Nitrogen_oxides,Total_all_sectors,16309.0
1990,Cyprus,Nitrogen_oxides,Energy_prod_distrib,3383.0
1990,Cyprus,Nitrogen_oxides,Energy_use_industry,2877.0
1990,Cyprus,Nitrogen_oxides,Road_transport,8170.0
1990,Cyprus,Nitrogen_oxides,Non-road_transport,665.0
1990,Cyprus,Nitrogen_oxides,Commercial_institutes_houses,536.0
1990,Cyprus,Nitrogen_oxides,Industrial_processes,7.0
1990,Cyprus,Nitrogen_oxides,Agriculture,668.0
1990,Cyprus,Nitrogen_oxides,Waste,3.0
1990,Cyprus,Nitrogen_oxides,Other,0.0
1990,Czechia,Ammonia,Total_all_sectors,189684.0
1990,Czechia,Ammonia,Energy_prod_distrib,0.0
1990,Czechia,Ammonia,Energy_use_industry,0.0
1990,Czechia,Ammonia,Road_transport,1339.0
1990,Czechia,Ammonia,Non-road_transport,3.0
1990,Czechia,Ammonia,Commercial_institutes_houses,3079.0
1990,Czechia,Ammonia,Industrial_processes,1036.0
1990,Czechia,Ammonia,Agriculture,184226.0
1990,Czechia,Ammonia,Waste,0.0
1990,Czechia,Ammonia,Other,0.0
1990,Czechia,Non-methane_VOCs,Total_all_sectors,570870.0
1990,Czechia,Non-methane_VOCs,Energy_prod_distrib,38909.0
1990,Czechia,Non-methane_VOCs,Energy_use_industry,10069.0
1990,Czechia,Non-methane_VOCs,Road_transport,129261.0
1990,Czechia,Non-methane_VOCs,Non-road_transport,1381.0
1990,Czechia,Non-methane_VOCs,Commercial_institutes_houses,201599.0
1990,Czechia,Non-methane_VOCs,Industrial_processes,189585.0
1990,Czechia,Non-methane_VOCs,Agriculture,0.0
1990,Czechia,Non-methane_VOCs,Waste,67.0
1990,Czechia,Non-methane_VOCs,Other,0.0
1990,Czechia,Particulates_lt_2.5mcg,Total_all_sectors,
1990,Czechia,Particulates_lt_2.5mcg,Energy_prod_distrib,
1990,Czechia,Particulates_lt_2.5mcg,Energy_use_industry,
1990,Czechia,Particulates_lt_2.5mcg,Road_transport,
1990,Czechia,Particulates_lt_2.5mcg,Non-road_transport,
1990,Czechia,Particulates_lt_2.5mcg,Commercial_institutes_houses,
1990,Czechia,Particulates_lt_2.5mcg,Industrial_processes,
1990,Czechia,Particulates_lt_2.5mcg,Agriculture,
1990,Czechia,Particulates_lt_2.5mcg,Waste,
1990,Czechia,Particulates_lt_2.5mcg,Other,
1990,Czechia,Particulates_lt_10mcg,Total_all_sectors,
1990,Czechia,Particulates_lt_10mcg,Energy_prod_distrib,
1990,Czechia,Particulates_lt_10mcg,Energy_use_industry,
1990,Czechia,Particulates_lt_10mcg,Road_transport,
1990,Czechia,Particulates_lt_10mcg,Non-road_transport,
1990,Czechia,Particulates_lt_10mcg,Commercial_institutes_houses,
