boosting_type,class_weight,colsample_bytree,learning_rate,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample_for_bin,subsample,loss,iteration
gbdt,balanced,0.8874306057288042,0.02474897690980312,205,144,0.11328198588199385,0.8109518758514853,120000,0.6037117923992406,0.2310285428918443,97
gbdt,balanced,0.7326787636533016,0.017532163285674928,420,34,0.78739503162987,0.5520827853417427,220000,0.5140566400846498,0.23106530169317696,10
dart,,0.8518815343430168,0.06335899439493924,485,137,0.03972954600584899,0.03537417373667563,20000,0.6264323360740943,0.23123964498970595,52
gbdt,balanced,0.7270679456331394,0.023504777792412928,455,132,0.6314680681196493,0.6568707639664192,220000,0.6704258014913117,0.2312724514348139,30
gbdt,balanced,0.7878722696495764,0.048936410244575575,410,132,0.17616663325172033,0.7234573267040174,180000,0.5211750033711255,0.2312883318054739,11
gbdt,,0.7885179201235237,0.021368379868514698,145,110,0.21955601779847916,0.6211024902666932,260000,0.7265368701436817,0.23144705543979605,45
goss,balanced,0.7536455612395208,0.052878392227056946,405,132,0.4690944088043564,0.7419251485769561,160000,1.0,0.23148861151774824,43
dart,,0.8367389932280112,0.025342235671901123,420,124,0.12849864771292796,0.4962046591379141,240000,0.7832743526466405,0.23153196310893895,68
dart,balanced,0.9628718211281245,0.11680263785524796,465,97,0.15249776455539976,0.9730073716406319,140000,0.7602909621402336,0.2315472514613277,93
goss,,0.8737783206793811,0.16132686506862626,400,139,0.2486148123375485,0.031063697453989292,160000,1.0,0.2316554330137812,98
dart,,0.6673076386901536,0.040118914534607024,475,70,0.8695100073452218,0.44076667329472063,160000,0.9985285847190133,0.2317290822908611,9
goss,,0.8906963579804155,0.09300560371484937,175,66,0.3479679339377224,0.7792709409751215,100000,1.0,0.2318023608820776,8
gbdt,balanced,0.6415121804434684,0.01248947325640039,450,37,0.8846498888116424,0.3197522715751596,280000,0.7324718151707527,0.2319757867626644,51
dart,,0.7759885057388157,0.033916645152135425,430,106,0.5619105516004048,0.10744127632102798,200000,0.9529169331672017,0.2320606289963959,50
goss,balanced,0.9506690907469217,0.15628860571978154,290,99,0.7249632565351506,0.7819372602803122,120000,1.0,0.2321336714461381,49
dart,,0.7580476173846165,0.04333522858221757,145,103,0.09453218673168637,0.5106950889256313,80000,0.6396292123846168,0.2322403652039833,89
dart,,0.8265438234217539,0.04066876778152503,410,108,0.0734653737164116,0.3176374126297439,160000,0.6199794699588125,0.23245215948221445,94
dart,,0.847501202662861,0.058779146822668896,440,86,0.8180199404953472,0.7302633737316023,60000,0.7095976672720036,0.2324678910160143,86
goss,balanced,0.7422968998593449,0.07866054762015,415,118,0.47827923423293384,0.0627262749115356,140000,1.0,0.23254773117176986,4
dart,balanced,0.7796708403631436,0.02232312540351403,425,148,0.37531591104840173,0.4879467877901132,220000,0.7930145725056429,0.23258316393023806,100
goss,,0.8136125042593711,0.09383174623286449,495,120,0.029712461676010767,0.09718351237467521,200000,1.0,0.2326327632829923,92
dart,balanced,0.806025977647469,0.06380367762658494,460,96,0.2928320955643807,0.9955572417553982,80000,0.7192048648202011,0.2326501277172943,41
goss,balanced,0.8193416666446791,0.10992930219555688,405,149,0.8215664035109225,0.8353736950802397,60000,1.0,0.2328556785389232,53
gbdt,balanced,0.7706879189819607,0.03598378193909862,135,67,0.9645612747608906,0.9616204046171472,60000,0.5253657477796922,0.2331142424901788,18
dart,,0.8430515354331721,0.18335468968989996,235,120,0.2517258154169596,0.5948787109955169,300000,0.7521125799222311,0.23311964975110774,60
goss,balanced,0.6451470731123676,0.010834211056898265,435,93,0.05432784729755681,0.8906600493974383,140000,1.0,0.2331607352680953,38
dart,balanced,0.7034098806170899,0.17570773135172346,185,130,0.41143347512435846,0.6458730815372581,240000,0.5599759986486835,0.234000431735954,91
dart,,0.880683867295047,0.19551187838964745,435,45,0.2878847550683644,0.01708657132205149,240000,0.5170383307975128,0.23421602511378925,12
dart,,0.8973095162409671,0.11048562760297137,165,135,0.0440056716410783,0.7633663336197917,140000,0.5919690768710075,0.2352834578775843,85
goss,balanced,0.8281037266643072,0.05565441586040854,125,102,0.8878029074840853,0.9836336562472392,220000,1.0,0.23771638399831896,3
dart,,0.6826115664358082,0.17232942613953312,485,117,0.010598426894564361,0.7063665010867298,120000,0.905149067692514,0.2377549213800425,16
dart,,0.7735223229554934,0.050495108844272246,115,114,0.1819442415758953,0.7160441794160475,180000,0.675918077901223,0.23790492006329825,81
goss,,0.853102917239426,0.011767912024933956,110,114,0.3369787449812449,0.5773835691302064,40000,1.0,0.23822111831918516,17
goss,,0.6048404419661536,0.06644368221542607,85,66,0.776616518870496,0.5854944753883532,300000,1.0,0.2411530187800318,20
goss,,0.8323503028814656,0.07466266915044889,60,125,0.2797719688097221,0.5368560929836105,180000,1.0,0.2507525259962834,87
dart,,0.890014582561619,0.055447027994085955,65,61,0.9748302452710026,0.23383881520136884,40000,0.895813092308513,0.2521276754387083,13
gbdt,balanced,0.9747942060828263,0.1473559020737722,95,54,0.1600408629931127,0.18835930963085992,100000,0.8293730068703903,0.25483814585525555,56
gbdt,balanced,0.8970523178797932,0.035742378218536576,45,138,0.5005020213127344,0.45121616279208887,260000,0.6614743075688195,0.2570861040350941,2
dart,balanced,0.8673114608040479,0.19723421725475318,25,125,0.3223434540676477,0.5285405099583975,140000,0.848430224254384,0.2823230809016558,44
